Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
25Vs12.5	yeast	P40037	>sp|P40037|HMF1_YEAST Protein HMF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMF1 PE=1 SV=1	4	4	4	52.7	52.7	52.7	13.906	5.12E+07	5.96E+07	5.84E+07	5.36E+07	5.34E+07	4.92E+07
25Vs12.5	yeast	P07278	>sp|P07278|KAPR_YEAST cAMP-dependent protein kinase regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCY1 PE=1 SV=4	2	2	2	7.9	7.9	7.9	47.218	1.37E+07	1.39E+07	1.37E+07	1.11E+07	1.44E+07	1.29E+07
50Vs5	yeast	P35723	>sp|P35723|YET1_YEAST Endoplasmic reticulum transmembrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YET1 PE=1 SV=2	2	2	2	11.2	11.2	11.2	23.459	8.09E+06	8.00E+06	8.46E+06		8.86E+06	8.67E+06
50Vs0.5	yeast	P40482	>sp|P40482|SEC24_YEAST Protein transport protein SEC24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC24 PE=1 SV=1	5	5	5	6.9	6.9	6.9	103.63	1.59E+07	1.74E+07	1.47E+07		1.72E+07	1.61E+07
50Vs5	yeast	P18562	>sp|P18562|UPP_YEAST Uracil phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUR1 PE=1 SV=2	5	5	5	23.1	23.1	23.1	24.594	3.37E+07	3.87E+07	3.50E+07	2.32E+07	3.36E+07	3.50E+07
25Vs12.5	yeast	P04807	>sp|P04807|HXKB_YEAST Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXK2 PE=1 SV=4	22	22	20	70.2	70.2	66.7	53.942	9.73E+08	8.50E+08	8.96E+08	9.86E+08	1.02E+09	1.03E+09
25Vs12.5	yeast	Q06505	>sp|Q06505|IWS1_YEAST Transcription factor SPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPN1 PE=1 SV=1	1	1	1	3.7	3.7	3.7	46.082	1.71E+06	1.89E+06	1.49E+06	1.86E+06	1.80E+06	2.03E+06
50Vs0.5	yeast	Q05775	>sp|Q05775|EIF3J_YEAST Eukaryotic translation initiation factor 3 subunit J OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HCR1 PE=1 SV=1	3	3	3	15.5	15.5	15.5	29.564	1.17E+07	1.55E+07	1.40E+07		1.34E+07	1.31E+07
25Vs12.5	yeast	Q08412	>sp|Q08412|CUE5_YEAST Ubiquitin-binding protein CUE5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUE5 PE=1 SV=1	1	1	1	3.2	3.2	3.2	46.869	4.48E+06	4.25E+06	4.23E+06	3.64E+06	3.89E+06	4.52E+06
25Vs12.5	yeast	P19146	>sp|P19146|ARF2_YEAST ADP-ribosylation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARF2 PE=1 SV=3	7	1	1	48.6	5.5	5.5	20.657	8.65E+06	8.59E+06	7.48E+06	9.47E+06	9.40E+06	8.77E+06
50Vs5	yeast	P0CW40;P0CW41;Q08295	>sp|P0CW40|MALX2_YEAST Oligo-1,6-glucosidase IMA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA3 PE=1 SV=1;>sp|P0CW41|MALX4_YEAST Oligo-1,6-glucosidase IMA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA4 PE=3 SV=1;>sp|Q0	3	3	2	5.6	5.6	3.4	68.698	1.40E+06	1.36E+06	1.44E+06	1.05E+06	1.24E+06	1.27E+06
25Vs12.5	yeast	P14832	>sp|P14832|CYPH_YEAST Peptidyl-prolyl cis-trans isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR1 PE=1 SV=3	9	9	9	56.8	56.8	56.8	17.39	3.17E+08	3.73E+08	3.55E+08	3.22E+08	3.25E+08	3.20E+08
25Vs12.5	yeast	A6ZRW6;P30952	>sp|A6ZRW6|MASY_YEAS7 Malate synthase 1, glyoxysomal OS=Saccharomyces cerevisiae (strain YJM789) GN=MLS1 PE=3 SV=1;>sp|P30952|MASY_YEAST Malate synthase 1, glyoxysomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MLS1 PE=1 SV=1	15	15	15	35.7	35.7	35.7	62.791	3.32E+08	2.94E+08	3.09E+08	3.38E+08	3.51E+08	3.55E+08
50Vs5	yeast	P25356	>sp|P25356|BPH1_YEAST Beige protein homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BPH1 PE=2 SV=2	1	1	1	0.5	0.5	0.5	250.87	2.68E+06	2.38E+06	3.28E+06	4.19E+06	3.71E+06	4.05E+06
50Vs5	yeast	Q12091;P47104	>sp|Q12091|DAP1_YEAST Damage response protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAP1 PE=1 SV=1;>sp|P47104|RAV1_YEAST Regulator of V-ATPase in vacuolar membrane protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) G	2	2	2	16.4	16.4	16.4	16.757	9.86E+06	1.08E+07	8.93E+06	6.91E+06	7.70E+06	1.08E+07
50Vs5	yeast	P53914	>sp|P53914|KRE33_YEAST UPF0202 protein KRE33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE33 PE=1 SV=1	1	1	1	1	1	1	119.35	1.84E+06	1.89E+06	1.79E+06		2.09E+06	2.11E+06
50Vs5	yeast	P30656	>sp|P30656|PSB5_YEAST Proteasome component PRE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE2 PE=1 SV=3	2	2	2	8	8	8	31.636	8.53E+06	8.35E+06	5.16E+06	9.63E+06	1.10E+07	1.04E+07
50Vs0.5	yeast	P11353	>sp|P11353|HEM6_YEAST Coproporphyrinogen-III oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM13 PE=1 SV=2	1	1	1	4.6	4.6	4.6	37.711	1.39E+07	1.45E+07	1.32E+07	1.28E+07	1.50E+07	
25Vs12.5	yeast	P40024	>sp|P40024|ARB1_YEAST ABC transporter ATP-binding protein ARB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARB1 PE=1 SV=1	4	4	4	8.7	8.7	8.7	68.376	2.33E+07	2.00E+07	2.28E+07	2.27E+07	2.56E+07	2.55E+07
50Vs0.5	yeast	P16550	>sp|P16550|APA1_YEAST Protein APA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APA1 PE=1 SV=4	4	4	4	26.2	26.2	26.2	36.492	3.64E+07	3.42E+07	3.64E+07	5.16E+07	5.50E+07	4.95E+07
25Vs12.5	yeast	P00175	>sp|P00175|CYB2_YEAST Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB2 PE=1 SV=1	5	5	5	14.9	14.9	14.9	65.539	3.94E+07	3.74E+07	4.17E+07	4.33E+07	4.57E+07	4.33E+07
25Vs12.5	yeast	A6ZVR0;B3LTL7;P40554	>sp|A6ZVR0|URM1_YEAS7 Ubiquitin-related modifier 1 OS=Saccharomyces cerevisiae (strain YJM789) GN=URM1 PE=3 SV=1;>sp|B3LTL7|URM1_YEAS1 Ubiquitin-related modifier 1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=URM1 PE=3 SV=1;>sp|P40554|URM1_YEAST Ubiquit	1	1	1	13.1	13.1	13.1	11.028	3.90E+06	3.03E+06	3.50E+06		3.91E+06	3.94E+06
25Vs12.5	yeast	P47068	>sp|P47068|BBC1_YEAST Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BBC1 PE=1 SV=2	7	7	7	8.4	8.4	8.4	128.29	2.58E+07	3.02E+07	2.73E+07	2.63E+07	2.50E+07	2.60E+07
25Vs12.5	yeast	A6ZP47;P06634	>sp|A6ZP47|DED1_YEAS7 ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain YJM789) GN=DED1 PE=3 SV=1;>sp|P06634|DED1_YEAST ATP-dependent RNA helicase DED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED1 PE=1 SV=2	7	7	7	16.6	16.6	16.6	65.552	2.45E+07	2.39E+07	3.05E+07	2.49E+07	2.71E+07	2.12E+07
50Vs0.5	yeast	P32521;A6ZVS5	>sp|P32521|PAN1_YEAST Actin cytoskeleton-regulatory complex protein PAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAN1 PE=1 SV=2;>sp|A6ZVS5|PAN1_YEAS7 Actin cytoskeleton-regulatory complex protein PAN1 OS=Saccharomyces cerevisiae (strain	2	2	2	1.6	1.6	1.6	160.27	1.08E+07	8.86E+06	1.11E+07		8.66E+06	8.76E+06
25Vs12.5	yeast	P53315	>sp|P53315|SOL4_YEAST 6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOL4 PE=1 SV=1	1	1	1	5.9	5.9	5.9	28.447	8.55E+06	8.52E+06	8.62E+06	9.93E+06	1.00E+07	8.78E+06
50Vs0.5	yeast	Q3E7Z5	>sp|Q3E7Z5|YI002_YEAST Uncharacterized protein YIL002W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL002W-A PE=1 SV=1	1	1	1	14.5	14.5	14.5	7.7286	2.60E+06	2.09E+06	3.78E+06		4.66E+06	2.83E+06
50Vs5	yeast	P41811	>sp|P41811|COPB2_YEAST Coatomer subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC27 PE=1 SV=1	5	5	5	7.4	7.4	7.4	99.444	1.92E+07	1.80E+07	1.75E+07	2.87E+07	2.60E+07	2.38E+07
50Vs5	yeast	P53111	>sp|P53111|ARI1_YEAST NADPH-dependent aldehyde reductase ARI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARI1 PE=1 SV=1	1	1	1	4.3	4.3	4.3	38.083	7.96E+06	8.44E+06	8.00E+06		8.67E+06	9.04E+06
25Vs12.5	yeast	P38137	>sp|P38137|FAT2_YEAST Peroxisomal-coenzyme A synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCS60 PE=1 SV=1	8	8	8	15.7	15.7	15.7	60.488	5.42E+07	5.88E+07	5.95E+07	5.12E+07	5.63E+07	5.29E+07
25Vs12.5	yeast	P14742	>sp|P14742|GFA1_YEAST Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GFA1 PE=1 SV=4	9	9	9	17.6	17.6	17.6	80.046	5.34E+07	5.16E+07	5.45E+07	5.63E+07	5.93E+07	6.24E+07
25Vs12.5	yeast	Q12305	>sp|Q12305|RDL1_YEAST Thiosulfate sulfurtransferase RDL1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RDL1 PE=1 SV=1	4	4	4	41.7	41.7	41.7	15.413	8.99E+07	8.09E+07	8.52E+07	9.73E+07	9.58E+07	9.22E+07
50Vs5	yeast	P39938;P39939	>sp|P39938|RS26A_YEAST 40S ribosomal protein S26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS26A PE=1 SV=1;>sp|P39939|RS26B_YEAST 40S ribosomal protein S26-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS26B PE=1 SV=1	4	4	4	37.8	37.8	37.8	13.505	1.63E+08	1.14E+08	9.77E+07	1.59E+08	1.75E+08	1.92E+08
50Vs0.5	yeast	P52553	>sp|P52553|PFD6_YEAST Prefoldin subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKE2 PE=1 SV=1	1	1	1	14.9	14.9	14.9	13.284	7.89E+06	7.12E+06	7.90E+06	1.15E+07	1.08E+07	1.10E+07
25Vs12.5	yeast	P38689	>sp|P38689|KPR3_YEAST Ribose-phosphate pyrophosphokinase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS3 PE=1 SV=1	4	4	4	13.1	13.1	13.1	35.123	8.15E+06	7.60E+06	8.15E+06	7.54E+06	6.31E+06	8.52E+06
50Vs0.5	yeast	P07244	>sp|P07244|PUR2_YEAST Bifunctional purine biosynthetic protein ADE5,7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE5,7 PE=1 SV=1	2	2	2	3.9	3.9	3.9	86.067	1.41E+07	1.61E+07	1.79E+07		1.64E+07	1.81E+07
50Vs5	yeast	P38628	>sp|P38628|AGM1_YEAST Phosphoacetylglucosamine mutase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCM1 PE=1 SV=2	5	5	5	9.5	9.5	9.5	62.066	1.90E+07	1.84E+07	2.30E+07	1.76E+07	1.63E+07	1.73E+07
50Vs5	yeast	P17536	>sp|P17536|TPM1_YEAST Tropomyosin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM1 PE=1 SV=1	7	7	7	44.2	44.2	44.2	23.54	7.11E+07	8.06E+07	8.52E+07	7.25E+07	6.54E+07	6.39E+07
25Vs12.5	yeast	P34223	>sp|P34223|UBX1_YEAST UBX domain-containing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHP1 PE=1 SV=1	3	3	3	9.2	9.2	9.2	46.987	3.33E+06	2.59E+06	3.87E+06	2.70E+06	2.58E+06	3.85E+06
50Vs5	yeast	P28319	>sp|P28319|CWP1_YEAST Cell wall protein CWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CWP1 PE=1 SV=2	1	1	1	6.3	6.3	6.3	24.268	3.60E+06	4.31E+06	4.14E+06	3.64E+06	3.50E+06	3.14E+06
25Vs12.5	yeast	Q3E841	>sp|Q3E841|YN034_YEAST Uncharacterized protein YNR034W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR034W-A PE=1 SV=1	4	4	4	52	52	52	10.781	7.77E+07	8.85E+07	8.23E+07	9.30E+07	9.28E+07	9.05E+07
50Vs0.5	yeast	P36015	>sp|P36015|YKT6_YEAST Synaptobrevin homolog YKT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKT6 PE=1 SV=1	3	3	3	16.5	16.5	16.5	22.707	1.23E+07	8.25E+06	9.47E+06	7.24E+06	6.49E+06	7.16E+06
25Vs12.5	yeast	P02992	>sp|P02992|EFTU_YEAST Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1	5	5	5	14.4	14.4	14.4	47.972	3.36E+07	2.62E+07	2.76E+07	3.30E+07	3.13E+07	3.26E+07
25Vs12.5	yeast	P04801	>sp|P04801|SYTC_YEAST Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2	15	15	15	23.8	23.8	23.8	84.519	1.11E+08	1.10E+08	1.06E+08	1.14E+08	1.28E+08	1.23E+08
25Vs12.5	yeast	Q12335	>sp|Q12335|PST2_YEAST Protoplast secreted protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PST2 PE=1 SV=1	5	5	5	43.9	43.9	43.9	20.965	1.14E+08	1.01E+08	1.04E+08	1.13E+08	1.13E+08	1.30E+08
50Vs0.5	yeast	Q02785	>sp|Q02785|PDR12_YEAST ATP-dependent permease PDR12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR12 PE=1 SV=1	1	1	1	1.7	1.7	1.7	171.06	8.65E+06	7.54E+06	7.85E+06			8.13E+06
50Vs0.5	yeast	P38075	>sp|P38075|PDX3_YEAST Pyridoxamine 5-phosphate oxidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDX3 PE=1 SV=1	4	4	4	22.8	22.8	22.8	26.908	1.78E+07	1.81E+07	1.83E+07	2.08E+07	2.30E+07	3.67E+07
50Vs5	yeast	Q03862	>sp|Q03862|ARX1_YEAST Probable metalloprotease ARX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARX1 PE=1 SV=1	3	3	3	7.8	7.8	7.8	65.212	8.05E+06	7.80E+06	8.00E+06		8.38E+06	8.96E+06
50Vs0.5	yeast	P28007	>sp|P28007|GAR1_YEAST H/ACA ribonucleoprotein complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAR1 PE=1 SV=1	2	2	2	14.1	14.1	14.1	21.48	1.42E+07	1.37E+07	1.28E+07		1.35E+07	1.37E+07
50Vs0.5	yeast	P41920	>sp|P41920|YRB1_YEAST Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRB1 PE=1 SV=1	1	1	1	10.4	10.4	10.4	22.953	8.19E+06	8.99E+06	2.07E+07	1.81E+07	1.53E+07	1.63E+07
50Vs5	yeast	Q00055	>sp|Q00055|GPD1_YEAST Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPD1 PE=1 SV=4	6	6	5	16.6	16.6	12.8	42.868	4.59E+07	4.69E+07	3.31E+07	3.63E+07	3.39E+07	3.65E+07
50Vs0.5	yeast	P32340	>sp|P32340|NDI1_YEAST Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1	2	2	2	6	6	6	57.249	1.44E+07	1.41E+07	1.56E+07		1.61E+07	1.47E+07
50Vs0.5	yeast	P26309	>sp|P26309|CDC20_YEAST APC/C activator protein CDC20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC20 PE=1 SV=2	1	1	1	2.3	2.3	2.3	67.359	1.82E+07	1.78E+07	1.98E+07	9.02E+06	1.49E+07	1.72E+07
25Vs12.5	yeast	P13188	>sp|P13188|SYQ_YEAST Glutamine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN4 PE=1 SV=2	6	6	6	8.2	8.2	8.2	93.132	1.61E+07	2.07E+07	1.81E+07	1.61E+07	1.66E+07	1.84E+07
50Vs5	yeast	P40215	>sp|P40215|NDH1_YEAST External NADH-ubiquinone oxidoreductase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDE1 PE=1 SV=1	3	3	3	5	5	5	62.773	3.70E+06	3.31E+06	3.70E+06	3.15E+06	3.15E+06	2.89E+06
50Vs5	yeast	P46784;Q08745	>sp|P46784|RS10B_YEAST 40S ribosomal protein S10-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10B PE=1 SV=1;>sp|Q08745|RS10A_YEAST 40S ribosomal protein S10-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10A PE=1 SV=1	4	4	4	43.8	43.8	43.8	12.738	1.26E+08	1.26E+08	1.36E+08	1.03E+08	1.14E+08	1.17E+08
25Vs12.5	yeast	P54885	>sp|P54885|PROA_YEAST Gamma-glutamyl phosphate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO2 PE=1 SV=1	3	3	3	10.5	10.5	10.5	49.74	8.30E+06	8.65E+06	8.51E+06	8.00E+06	7.75E+06	7.98E+06
50Vs5	yeast	P53235	>sp|P53235|EIF2A_YEAST Eukaryotic translation initiation factor 2A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR054W PE=1 SV=1	3	3	3	5.8	5.8	5.8	71.304	9.15E+06	1.19E+07	1.32E+07	6.59E+06	1.18E+07	1.17E+07
25Vs12.5	yeast	P40850	>sp|P40850|MKT1_YEAST Protein MKT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MKT1 PE=1 SV=2	6	6	6	9.3	9.3	9.3	94.493	2.33E+07	3.18E+07	2.18E+07	2.50E+07	2.27E+07	2.29E+07
50Vs0.5	yeast	A7A1I2;B3RHI0;C7GVT8;C8ZDR4;E7NKW8;E7Q714;E7QIA1;Q05905;E7KFU6;E7LXU7;E7KS00	>sp|A7A1I2|HRI1_YEAS7 Protein HRI1 OS=Saccharomyces cerevisiae (strain YJM789) GN=HRI1 PE=3 SV=1;>sp|B3RHI0|HRI1_YEAS1 Protein HRI1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=HRI1 PE=3 SV=1;>sp|C7GVT8|HRI1_YEAS2 Protein HRI1 OS=Saccharomyces cerevisia	2	2	2	13.9	13.9	13.9	27.528	2.41E+07	2.35E+07	2.25E+07		3.05E+07	3.15E+07
25Vs12.5	yeast	P47124	>sp|P47124|HOC1_YEAST Putative glycosyltransferase HOC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOC1 PE=1 SV=3	1	1	1	2.5	2.5	2.5	46.296	2.00E+07	2.20E+07	2.02E+07	1.98E+07	1.94E+07	1.88E+07
50Vs5	yeast	P53081	>sp|P53081|NIF3_YEAST NGG1-interacting factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIF3 PE=1 SV=1	2	2	2	8.7	8.7	8.7	31.888	6.95E+06	7.93E+06	8.47E+06	6.85E+06	7.02E+06	6.20E+06
25Vs12.5	yeast	A6ZXP4;Q07478	>sp|A6ZXP4|SUB2_YEAS7 ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain YJM789) GN=SUB2 PE=3 SV=1;>sp|Q07478|SUB2_YEAST ATP-dependent RNA helicase SUB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUB2 PE=1 SV=1	8	8	8	27.6	27.6	27.6	50.278	5.72E+07	5.38E+07	5.24E+07	6.00E+07	6.19E+07	5.96E+07
25Vs12.5	yeast	P32598	>sp|P32598|PP12_YEAST Serine/threonine-protein phosphatase PP1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC7 PE=1 SV=1	6	6	4	23.1	23.1	19.6	35.907	3.00E+07	2.81E+07	3.17E+07	3.08E+07	3.45E+07	3.45E+07
25Vs12.5	yeast	P01098	>sp|P01098|STF1_YEAST ATPase-stabilizing factor 9 kDa, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STF1 PE=1 SV=2	2	2	2	18.6	18.6	18.6	10.062	4.32E+06	3.99E+06	5.66E+06	4.15E+06	4.37E+06	4.37E+06
25Vs12.5	yeast	P07560	>sp|P07560|SEC4_YEAST Ras-related protein SEC4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC4 PE=1 SV=1	4	4	3	26	26	20.9	23.505	1.37E+07	1.60E+07	1.53E+07	1.34E+07	1.59E+07	1.29E+07
25Vs12.5	yeast	P39522	>sp|P39522|ILV3_YEAST Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV3 PE=1 SV=2	7	7	7	16.6	16.6	16.6	62.86	4.98E+07	3.82E+07	4.30E+07	4.67E+07	5.02E+07	4.80E+07
50Vs0.5	yeast	P02406	>sp|P02406|RL28_YEAST 60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL28 PE=1 SV=3	7	7	7	37.6	37.6	37.6	16.721	2.44E+08	2.28E+08	2.05E+08	1.57E+08	1.57E+08	1.68E+08
50Vs5	yeast	P01123	>sp|P01123|YPT1_YEAST GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT1 PE=1 SV=2	4	3	3	18.9	13.6	13.6	23.214	6.01E+06	7.08E+06	6.92E+06	4.18E+06	6.32E+06	7.14E+06
25Vs12.5	yeast	P38281	>sp|P38281|APD1_YEAST Actin patches distal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APD1 PE=1 SV=1	5	5	5	18.4	18.4	18.4	35.758	1.33E+07	1.17E+07	1.24E+07	1.26E+07	1.53E+07	1.37E+07
25Vs12.5	yeast	Q08220	>sp|Q08220|GSHB_YEAST Glutathione synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH2 PE=1 SV=1	2	2	2	4.9	4.9	4.9	55.815	4.47E+06	3.99E+06	3.83E+06		4.02E+06	3.70E+06
25Vs12.5	yeast	P41940	>sp|P41940|MPG1_YEAST Mannose-1-phosphate guanyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSA1 PE=1 SV=2	16	16	16	52.9	52.9	52.9	39.565	3.69E+08	3.50E+08	3.45E+08	4.01E+08	3.95E+08	3.85E+08
25Vs12.5	yeast	P38624	>sp|P38624|PSB6_YEAST Proteasome component PRE3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE3 PE=1 SV=2	3	3	3	14.4	14.4	14.4	23.547	1.09E+07	1.21E+07	1.31E+07	1.07E+07	1.20E+07	1.10E+07
25Vs12.5	yeast	P04076	>sp|P04076|ARLY_YEAST Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG4 PE=1 SV=2	8	8	8	21.6	21.6	21.6	51.989	6.11E+07	5.33E+07	5.79E+07	6.16E+07	6.18E+07	6.77E+07
50Vs5	yeast	Q04341	>sp|Q04341|MIC14_YEAST Mitochondrial intermembrane space cysteine motif-containing protein MIC14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIC14 PE=1 SV=1	2	2	2	32.2	32.2	32.2	13.866	8.60E+06	7.98E+06	7.89E+06	1.10E+07	1.26E+07	1.10E+07
25Vs12.5	yeast	P32527	>sp|P32527|ZUO1_YEAST Zuotin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZUO1 PE=1 SV=1	8	8	8	30	30	30	49.019	1.10E+08	1.10E+08	1.08E+08	1.23E+08	1.27E+08	1.15E+08
50Vs5	yeast	P32074	>sp|P32074|COPG_YEAST Coatomer subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC21 PE=1 SV=2	4	4	4	7.5	7.5	7.5	104.83	5.23E+07	4.39E+07	4.61E+07	3.86E+07	4.25E+07	4.17E+07
25Vs12.5	yeast	Q00055	>sp|Q00055|GPD1_YEAST Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPD1 PE=1 SV=4	7	7	6	23.3	23.3	19.4	42.868	3.61E+07	4.73E+07	3.72E+07	3.65E+07	3.76E+07	3.78E+07
50Vs0.5	yeast	P35180	>sp|P35180|TOM20_YEAST Mitochondrial import receptor subunit TOM20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM20 PE=1 SV=1	1	1	1	9.3	9.3	9.3	20.317	4.66E+06	5.36E+06	4.88E+06	5.83E+06	7.79E+06	7.72E+06
